text,label
"Subject: Invoice
From: promo@company.com
To: user@example.com

Lunch regards thanks budget schedule reminder meeting report attached meeting report notes attached report update thanks regards.",0
"Subject: Regards update invoice
From: promo@company.com
To: user@example.com

Report regards schedule tonight tonight tonight lunch meeting invoice project budget schedule please see attached.",0
"Subject: Tonight project
From: promo@company.com
To: user@example.com

Notes regards proposal team team tonight invoice team project.",0
"Subject: Project family reminder
From: promo@company.com
To: user@example.com

Invoice lunch budget thanks report family regards schedule discussion discussion reminder schedule budget.",0
"Subject: Loan congratulations !!!
From: promo@spammy.com
To: user@example.com

Click money click money risk-free offer free unsubscribe limit winner win winner credit congratulations $75 http://bit.ly/494 click here now.",1
"Subject: Invoice meeting report
From: promo@company.com
To: user@example.com

Team regards regards tonight family project meeting thanks thanks proposal regards attached schedule notes team attached report tonight project proposal budget budget update invoice project tonight proposal discussion lunch please see attached.",0
"Subject: Guarantee prize click !!!
From: promo@spammy.com
To: user@example.com

Unsubscribe prize limit money unsubscribe risk-free promotion loan loan offer loan cheap risk-free urgent click winner win limit money win loan winner winner win buy $295 http://bit.ly/785 click here now.",1
"Subject: Team reminder proposal
From: promo@company.com
To: user@example.com

Report schedule reminder reminder invoice regards thanks proposal schedule reminder tonight team lunch report invoice reminder family lunch budget reminder team thanks regards.",0
"Subject: Project
From: promo@company.com
To: user@example.com

Project invoice report reminder schedule tonight proposal lunch discussion invoice reminder proposal proposal update thanks please see attached thanks regards.",0
"Subject: Proposal schedule update
From: promo@company.com
To: user@example.com

Meeting invoice budget attached schedule attached team schedule schedule.",0
"Subject: Reminder schedule project
From: promo@company.com
To: user@example.com

Notes update family lunch thanks family lunch project notes invoice budget budget meeting notes update schedule attached attached project tonight schedule please see attached thanks regards.",0
"Subject: Limit risk-free win
From: promo@spammy.com
To: user@example.com

Risk-free winner guarantee click risk-free promotion prize buy free cheap loan guarantee limit click risk-free win credit congratulations win $143 http://bit.ly/752.",1
"Subject: Unsubscribe promotion
From: promo@spammy.com
To: user@example.com

Winner guarantee risk-free limit guarantee money prize prize buy risk-free congratulations guarantee risk-free $265 http://bit.ly/782 click here now.",1
"Subject: Lunch reminder
From: promo@company.com
To: user@example.com

Proposal discussion team meeting regards family budget discussion team discussion lunch discussion schedule.",0
"Subject: Credit limit
From: promo@spammy.com
To: user@example.com

Click credit offer buy winner promotion cheap limit loan guarantee buy win guarantee click money unsubscribe win $363 http://bit.ly/846.",1
"Subject: Free loan cheap !!!
From: promo@spammy.com
To: user@example.com

Win risk-free limit loan promotion loan cheap winner credit buy buy guarantee loan buy buy offer offer buy prize offer risk-free loan risk-free click here now.",1
"Subject: Attached
From: promo@company.com
To: user@example.com

Report discussion update family reminder thanks attached discussion proposal regards notes family notes notes schedule proposal lunch.",0
"Subject: Offer
From: promo@spammy.com
To: user@example.com

Urgent guarantee money loan cheap offer prize loan risk-free guarantee guarantee congratulations $833 http://bit.ly/812 click here now.",1
"Subject: Free
From: promo@spammy.com
To: user@example.com

Loan unsubscribe money unsubscribe risk-free credit loan limit congratulations limit risk-free promotion urgent click click credit promotion limit credit click winner buy click buy $151 http://bit.ly/254 click here now.",1
"Subject: Tonight project regards
From: promo@company.com
To: user@example.com

Family invoice schedule discussion reminder regards proposal meeting team update invoice budget family reminder budget team attached regards discussion budget invoice please see attached.",0
"Subject: Loan buy congratulations
From: promo@spammy.com
To: user@example.com

Risk-free money credit winner offer guarantee free click buy urgent $910 http://bit.ly/488 click here now.",1
"Subject: Invoice project
From: promo@company.com
To: user@example.com

Meeting attached proposal tonight notes discussion notes regards proposal report meeting project project thanks update report thanks regards report update regards project discussion thanks regards.",0
"Subject: Loan unsubscribe
From: promo@spammy.com
To: user@example.com

Winner loan credit winner promotion guarantee money prize unsubscribe congratulations cheap offer cheap limit cheap guarantee click here now.",1
"Subject: Discussion lunch regards
From: promo@company.com
To: user@example.com

Regards proposal lunch discussion attached invoice reminder regards lunch team discussion schedule team please see attached.",0
"Subject: Update meeting
From: promo@company.com
To: user@example.com

Team report report discussion tonight team thanks lunch meeting proposal schedule thanks invoice regards thanks notes invoice discussion schedule report thanks family update.",0
"Subject: Unsubscribe money credit
From: promo@spammy.com
To: user@example.com

Buy click loan buy promotion unsubscribe loan free promotion click money promotion money unsubscribe congratulations buy cheap buy click here now.",1
"Subject: Unsubscribe !!!
From: promo@spammy.com
To: user@example.com

Credit promotion winner win buy urgent cheap unsubscribe click guarantee prize winner urgent money click here now.",1
"Subject: Project reminder
From: promo@company.com
To: user@example.com

Update reminder update notes regards tonight budget family update reminder update please see attached.",0
"Subject: Cheap !!!
From: promo@spammy.com
To: user@example.com

Prize free winner win urgent money buy click loan loan urgent loan.",1
"Subject: Tonight regards report
From: promo@company.com
To: user@example.com

Lunch project lunch project schedule discussion update discussion budget reminder invoice family reminder lunch attached reminder update budget regards update meeting lunch thanks team update please see attached.",0
"Subject: Schedule family team
From: promo@company.com
To: user@example.com

Notes budget report update notes invoice schedule tonight family thanks team family thanks family proposal discussion attached invoice family family proposal reminder attached proposal.",0
"Subject: Risk-free !!!
From: promo@spammy.com
To: user@example.com

Credit promotion free limit risk-free offer loan prize unsubscribe money click prize limit limit winner unsubscribe risk-free urgent prize congratulations urgent loan limit click guarantee click here now.",1
"Subject: Tonight budget
From: promo@company.com
To: user@example.com

Team lunch discussion reminder budget attached discussion family family update proposal invoice please see attached.",0
"Subject: Unsubscribe loan congratulations
From: promo@spammy.com
To: user@example.com

Unsubscribe click cheap guarantee offer buy urgent risk-free cheap unsubscribe congratulations credit prize unsubscribe prize unsubscribe $112 http://bit.ly/995.",1
"Subject: Win click
From: promo@spammy.com
To: user@example.com

Winner congratulations click credit offer winner buy loan limit unsubscribe credit guarantee urgent limit click here now.",1
"Subject: Reminder project
From: promo@company.com
To: user@example.com

Proposal regards thanks schedule project family meeting family schedule tonight reminder lunch reminder thanks report report update tonight thanks invoice update please see attached.",0
"Subject: Meeting discussion attached
From: promo@company.com
To: user@example.com

Attached schedule proposal proposal family proposal thanks invoice family proposal team schedule tonight tonight family thanks meeting discussion reminder meeting team discussion proposal budget regards discussion budget regards lunch thanks regards.",0
"Subject: Click free
From: promo@spammy.com
To: user@example.com

Buy offer money promotion winner buy promotion free prize limit unsubscribe $945 http://bit.ly/379.",1
"Subject: Limit money
From: promo@spammy.com
To: user@example.com

Unsubscribe prize unsubscribe guarantee promotion unsubscribe unsubscribe congratulations cheap congratulations win limit urgent loan loan money congratulations risk-free winner click win guarantee money risk-free $74 http://bit.ly/750.",1
"Subject: Regards report
From: promo@company.com
To: user@example.com

Meeting meeting proposal project lunch attached tonight tonight proposal thanks attached update.",0
"Subject: Regards invoice
From: promo@company.com
To: user@example.com

Thanks report invoice lunch tonight proposal tonight budget notes please see attached thanks regards.",0
